Product-Id,Min-Price,Max-Price,Target-Price
0,121.0,121.0,121.0
1,322.0,316.0,316.0
2,88.0,89.0,89.0
3,72.0,71.0,71.0
4,101.0,103.0,103.0
5,357.0,356.0,356.0
6,240.0,242.0,242.0
7,382.0,383.0,383.0
8,278.0,279.0,279.0
9,314.0,314.0,314.0
10,489.0,484.0,484.0
11,472.0,476.0,476.0
12,277.0,274.0,274.0
13,356.0,356.0,356.0
14,369.0,369.0,369.0
15,315.0,319.0,319.0
16,273.0,274.0,274.0
17,434.0,434.0,434.0
18,80.0,77.0,77.0
19,336.0,335.0,335.0
20,392.0,396.0,396.0
21,153.0,155.0,155.0
22,500.0,507.0,507.0
23,296.0,295.0,295.0
24,277.0,279.0,279.0
25,526.0,522.0,522.0
26,333.0,333.0,333.0
27,143.0,142.0,142.0
28,89.0,89.0,89.0
29,371.0,371.0,371.0
30,244.0,245.0,245.0
31,498.0,494.0,494.0
32,256.0,261.0,261.0
33,50.0,51.0,51.0
34,382.0,383.0,383.0
35,504.0,506.0,506.0
36,75.8,79.8,79.8
37,105.0,106.0,106.0
38,284.0,285.0,285.0
39,427.0,427.0,427.0
40,217.0,218.0,218.0
41,304.0,305.0,305.0
42,314.0,317.0,317.0
43,321.0,322.0,322.0
44,371.0,373.0,373.0
45,166.0,170.0,170.0
46,100.0,105.0,105.0
47,308.0,309.0,309.0
48,175.0,178.0,178.0
49,185.0,185.0,185.0
